,NOC,Predicted_Medals_Total_2028,Lower_Bound,Upper_Bound
0,United States,86.59101938862214,62.0,114.0
30,Russia,71.59098163013229,48.0,99.0
60,Germany,53.69888130842594,31.0,82.0
94,Great Britain,86.32666645722013,62.0,114.0
124,France,68.69124388438163,45.0,96.0
154,China,66.54029875589666,43.0,94.0
184,Italy,45.6130821891193,23.0,74.0
214,Australia,35.26156299795684,14.0,65.0
244,Hungary,27.06826505205437,7.0,58.0
274,Sweden,19.790666010243317,2.0,52.0
304,Japan,60.68609995561602,37.0,89.0
334,Canada,20.56403755708683,3.0,53.0
364,Netherlands,26.682477631905336,7.0,58.0
395,Romania,10.649573794544832,0.0,47.0
425,Finland,11.414813652471278,0.0,48.0
455,Poland,15.61511506244234,1.0,50.0
485,South Korea,18.77294594732449,2.0,52.0
515,Cuba,12.666829007120509,0.0,48.0
545,Bulgaria,5.890159630719204,0.0,45.0
575,Czech Republic,10.335874000567312,0.0,47.0
605,Switzerland,12.984696921195573,0.0,48.0
635,Denmark,9.925298435585129,0.0,47.0
665,Spain,12.204969997697576,4.0,23.0
695,Norway,6.58797373352551,0.0,18.0
725,Belgium,6.7515219211022774,0.0,19.0
755,Brazil,23.507812797744027,13.810841559724595,33.20478403576346
785,Ukraine,18.675646766412697,10.0,29.0
815,New Zealand,18.89882095549916,10.0,29.0
845,Greece,4.703768121766561,0.0,17.0
875,Serbia,8.614651780001989,1.0,20.0
905,Kenya,8.127236970984814,1.0,19.0
935,Turkey,9.065090157220837,2.0,20.0
965,Austria,6.243002314308974,1.245802172505977,11.240202456111971
995,South Africa,3.6817047398990193,0.0,7.5192585127595475
1025,Jamaica,7.1585042249233855,1.807427987408773,12.509580462437999
1055,Belarus,13.949639543996016,6.479796294236081,21.41948279375595
1085,Argentina,3.1007499567323573,0.0,6.622539250107165
1115,Iran,6.463137961351395,1.3785974860079664,11.547678436694824
1145,Mexico,3.7702601705443786,0.0,7.653691730669716
1175,Kazakhstan,6.013799412176064,1.109189575634093,10.918409248718035
1205,Ethiopia,4.3528082382569275,0.1801312853851007,8.525485191128755
1235,North Korea,2.7391956262472053,0.0,6.04929872207199
1265,Azerbaijan,5.594300822790512,0.8638459513048904,10.324755694276133
1295,Croatia,6.363074962682925,1.3180477228425191,11.408102202523331
1325,Georgia,5.828470499525466,1.0000254083908606,10.65691559066007
1355,Egypt,5.815152128730479,0.9922268219356587,10.6380774355253
1385,Indonesia,4.454025514788418,0.23311304718693115,8.674937982389904
1415,Estonia,3.266177914640646,0.0,6.880691942634256
1445,Uzbekistan,5.460932375231152,0.7872047942820215,10.134659956180283
1475,Thailand,3.3326506066748673,0.0,6.983760359434906
1505,Ireland,5.033748244327085,0.5465449976144576,9.520951491039712
1535,Chinese Taipei,9.597841725386925,3.4017649907468748,15.793918460026974
1565,India,6.153429445280854,1.1922080451492878,11.11465084541242
1595,Colombia,4.250750622033903,0.127280907323291,8.374220336744514
1625,Slovakia,3.964319292555045,0.0,7.946438975615836
1655,Mongolia,3.727281638395608,0.0,7.588515450738812
1685,Slovenia,5.460932375231152,0.7872047942820215,10.134659956180283
1715,Portugal,3.971857279140153,0.0,7.957761080859484
1745,Nigeria,3.0688899690413223,0.0,6.572539477220657
1775,Lithuania,2.5425850689863796,0.0,5.731682163141011
1805,Morocco,2.9003877527615294,0.0,6.306492714597867
1835,Latvia,2.781678939321913,0.0,6.117352148329003
1865,Venezuela,3.602173755274149,0.0,7.3980524442072655
1895,Trinidad and Tobago,1.741698697375403,0.0,4.381167354037499
1925,Armenia,2.5510096139071594,0.0,5.745385680626392
1955,Algeria,1.861791437347332,0.0,4.590741006208825
1985,Bahamas,2.977130363360154,0.0,6.428002927428641
2015,Tunisia,2.7280588913842045,0.0,6.031426198472053
2045,Philippines,3.443546821787438,0.0,7.154906045461395
2075,Israel,4.146255021909721,0.07378401677796109,8.21872602704148
2105,Chile,1.3645554922691912,0.0,3.700839286904758
2135,Malaysia,1.9074771883045232,0.0,4.66970613486527
2165,Dominican Republic,3.364357453080592,0.0,7.032794424369913
2195,Uganda,3.51890550585375,0.0,7.2706547010179206
2225,Pakistan,1.2444627522972624,0.0,4.0
2255,Uruguay,1.2444627522972624,0.0,4.0
2285,Puerto Rico,1.804301859492148,0.0,4.490787935757684
2315,Hong Kong,4.377397554516608,0.19295132854280173,8.561843780490413
2345,Qatar,0.7364535612593106,0.0,4.0
2375,Zimbabwe,1.2444627522972624,0.0,4.0
2405,Kyrgyzstan,-0.1007303332711728,0.0, 1.0
2435,Moldova,0.921327623844014,0.0,4.0
2465,Cameroon,0.8393839403962069,0.0,4.0
2495,Singapore,0.5182881661193959,0.0,4.0
2525,Vietnam,0.5182881661193959,0.0,4.0
2555,Namibia,0.6538518975049116,0.0,4.0
2585,Ecuador,3.4617905243692353,0.0,7.182968039279931
2615,Ghana,0.6538518975049116,0.0,4.0
2645,Iceland,0.4144834669972725,0.0,4.0
2675,Bahrain,0.4964271504450798,0.0,4.0
2705,Lebanon,0.4144834669972725,0.0,4.0
2735,Ivory Coast,0.4964271504450798,0.0,4.0
2765,Tajikistan,0.4144834669972725,0.0,4.0
2795,Saudi Arabia,0.4964271504450798,0.0,4.0
2825,Syria,0.5500471983827884,0.0,4.0
2855,Costa Rica,0.4144834669972725,0.0,4.0
2885,Peru,0.4501240649789734,0.0,4.0
2915,Panama,0.3288478484875325,0.0,4.0
2945,Luxembourg,0.3288478484875325,0.0,4.0
2975,Grenada,0.4644115798730483,0.0,4.0
3005,Fiji,1.9390878345946172,0.0,4.724110516437347
3035,Kuwait,0.4644115798730483,0.0,4.0
3065,Kosovo,-0.5447070493730937,0.0,
3095,Jordan,1.3026505015427623,0.0,4.0
3125,San Marino,-1.749681340956501,0.0,
3155,Tanzania,0.3052231879647719,0.0,3.0
3185,United Arab Emirates,0.3052231879647719,0.0,3.0
3215,Niger,0.3052231879647719,0.0,3.0
3245,Afghanistan,0.3052231879647719,0.0,3.0
3275,Haiti,0.3052231879647719,0.0,3.0
3305,Botswana,0.4764275173319887,0.0,4.0
3335,Mozambique,0.3052231879647719,0.0,3.0
3365,Burundi,0.3052231879647719,0.0,3.0
3395,Bermuda,-0.5235823066517026,0.0,
3425,Suriname,0.3052231879647719,0.0,3.0
3455,British West Indies,0.3052231879647719,0.0,3.0
3485,Sri Lanka,0.3052231879647719,0.0,3.0
3515,Zambia,0.3408637859464729,0.0,4.0
3545,Paraguay,0.3408637859464729,0.0,4.0
3575,Macedonia,0.3052231879647719,0.0,3.0
3605,Mauritius,0.3052231879647719,0.0,3.0
3635,Gabon,0.3052231879647719,0.0,3.0
3665,Senegal,0.3052231879647719,0.0,3.0
3695,North Macedonia,-2.559396027559115,0.0,
3725,Montenegro,0.3408637859464729,0.0,4.0
3755,Cyprus,0.3408637859464729,0.0,4.0
3785,Guyana,0.3052231879647719,0.0,3.0
3815,Samoa,0.3408637859464729,0.0,4.0
3845,Turkmenistan,0.4407869193502877,0.0,4.0
3875,Taiwan,0.3052231879647719,0.0,3.0
3905,Barbados,0.3052231879647719,0.0,3.0
3935,Tonga,0.3052231879647719,0.0,3.0
3965,Togo,0.3052231879647719,0.0,3.0
3995,Virgin Islands,0.3052231879647719,0.0,3.0
4025,Guatemala,0.3052231879647719,0.0,3.0
4055,Djibouti,0.3052231879647719,0.0,3.0
4085,Eritrea,0.3052231879647719,0.0,3.0
4115,Iraq,0.3408637859464729,0.0,4.0
4145,Burkina Faso,0.4407869193502877,0.0,4.0
4175,Sudan,0.3052231879647719,0.0,3.0
4205,Dominica,0.2492292814022589,0.0,3.0
4235,Cabo Verde,0.2492292814022589,0.0,3.0
4265,Albania,0.2492292814022589,0.0,3.0
4295,Saint Lucia,0.2492292814022589,0.0,3.0
